age,gender_label,gender_male,field_label,is_stem,academic_status,ai_course_experience,ai_usage_duration,ai_frequency_label,ai_frequency,weekly_time,confidence,self_rated_knowledge,3.1_correct,3.2_correct,3.3_correct,3.4_correct,3.5_correct,3.6_correct,3.7_correct,3.8_correct,3.9_correct,3.10_correct,3.11_correct,OLS,self_estimate,overconfidence_gap,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,competence_trust,perceived_risk,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,domain_low_stakes,domain_high_stakes,passed_math_check,passed_agree_check,passed_attention,timestamp
24.0,Female,0.0,Communication/Media/Journalism,0,Master's student,No,1–2 years,Daily,5,3–7 hours,4.0,3.0,0,0,0,0,1,1,0,0,1,0,0,3,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.6666666666666665,3.2,5.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,4.25,2.75,True,True,True,2026/06/03 11:40:31 AM MEZ
27.0,Male,1.0,Architecture,0,Master's student,No,1–2 years,A few times a week,4,Less than 30 minutes,3.0,3.0,1,0,0,1,1,1,1,0,1,1,1,8,7.0,-1.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,2.6666666666666665,3.6,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.5,3.0,True,True,True,2026/06/03 11:49:06 AM MEZ
21.0,Female,0.0,Computer Science/Informatics,1,Master's student,Yes (>3 courses),More than 2 years,Multiple times per day,6,More than 7 hours,4.0,3.0,1,1,1,1,1,1,1,1,1,1,1,11,9.0,-2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.4,4.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,2.25,True,True,True,2026/06/03 11:58:04 AM MEZ
25.0,Female,0.0,Social Sciences,0,Master's student,No,More than 2 years,Daily,5,3–7 hours,3.0,3.0,0,0,0,0,0,0,1,0,1,0,1,3,3.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.5,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.5,2.5,True,True,True,2026/06/03 12:02:28 PM MEZ
36.0,Female,0.0,Mathematics/Statistics,1,Graduate working,Yes (>3 courses),More than 2 years,Multiple times per day,6,1–3 hours,2.0,1.0,1,1,1,1,1,1,1,1,1,1,1,11,7.0,-4.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,2.8333333333333335,3.2,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,4.25,2.0,True,True,True,2026/06/03 1:40:12 PM MEZ
24.0,Female,0.0,Natural Sciences,1,Master's student,No,More than 2 years,A few times a week,4,1–3 hours,3.0,3.0,1,0,0,0,0,0,1,0,1,1,0,4,5.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.6666666666666665,2.8,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,True,True,True,2026/06/03 1:48:40 PM MEZ
23.0,Female,0.0,Natural Sciences,1,Undergraduate,No,1–2 years,A few times a week,4,1–3 hours,2.0,2.0,0,0,0,1,1,0,1,0,1,1,0,5,5.0,0.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.3333333333333335,3.0,4.0,4.0,2.0,5.0,3.0,2.0,1.0,3.0,4.0,2.0,True,True,True,2026/06/03 3:52:47 PM MEZ
24.0,Female,0.0,Health/Medicine/Psychology,1,Master's student,No,More than 2 years,A few times a week,4,1–3 hours,3.0,3.0,1,1,0,1,1,1,1,0,1,1,1,9,5.0,-4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.8333333333333335,3.6,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.75,1.5,True,True,True,2026/06/03 6:14:18 PM MEZ
24.0,Male,1.0,AI/Data Science/Machine Learning,1,Master's student,Yes (1 course),1–2 years,Multiple times per day,6,1–3 hours,4.0,4.0,1,1,1,1,1,1,1,0,1,1,1,10,10.0,0.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,2.4,4.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.5,2.25,True,True,True,2026/06/03 6:17:13 PM MEZ
28.0,Female,0.0,Social Sciences,0,Undergraduate,No,1–2 years,A few times a month,3,Less than 30 minutes,2.0,1.0,0,0,0,0,1,1,0,1,1,0,0,4,2.0,-2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,3.0,1.5,3.6,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.25,1.5,True,True,True,2026/06/04 7:12:48 AM MEZ
24.0,Male,1.0,Business/Management/Marketing,0,Graduate working,Yes (1 course),More than 2 years,Multiple times per day,6,3–7 hours,3.0,2.0,0,1,0,0,1,1,1,1,1,1,1,8,6.0,-2.0,3.0,3.0,4.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,3.1666666666666665,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,True,True,True,2026/06/04 9:20:22 AM MEZ
22.0,Male,1.0,Natural Sciences,1,Undergraduate,No,1–2 years,Daily,5,30–60 minutes,4.0,3.0,0,0,1,0,1,1,0,1,1,1,1,7,6.0,-1.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,3.6666666666666665,2.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,2026/06/04 12:08:13 PM MEZ
