,b,SE,t,p,CI_low,CI_high,beta_std
const,2.7278,0.3691,7.3903,0.0,1.9933,3.4624,-0.0
OLS,0.0142,0.0194,0.7312,0.4668,-0.0244,0.0528,0.0781
age,-0.0092,0.0094,-0.9789,0.3306,-0.0279,0.0095,-0.1015
gender_male,0.3552,0.1276,2.7832,0.0067,0.1012,0.6092,0.2994
is_stem,0.1701,0.1381,1.2316,0.2217,-0.1048,0.4449,0.1313
ai_frequency,0.0542,0.0505,1.0732,0.2864,-0.0463,0.1546,0.1156
