Scale,k items,N,alpha,alpha 95% CI,omega,omega (Sun 2025),alpha >= .70
Competence Trust,6,87,0.791,"[0.71, 0.85]",0.802,0.966,yes
Perceived Risk,5,87,0.647,"[0.52, 0.75]",0.658,0.959,NO
